"","CodeEtab","Commune","CodeMat","Matiere","TypeEtab","NomEtab","Barre","ville","etablissement","effectif_presents_serie_l","effectif_presents_serie_es","effectif_presents_serie_s","effectif_presents_serie_stg","effectif_presents_serie_sti","effectif_presents_serie_stl","effectif_presents_serie_st2s","effectif_presents_serie_musiq_danse","effectif_presents_serie_hotellerie","effectif_presents_total_series","taux_brut_de_reussite_serie_l","taux_brut_de_reussite_serie_es","taux_brut_de_reussite_serie_s","taux_brut_de_reussite_serie_stg","taux_brut_de_reussite_serie_sti","taux_brut_de_reussite_serie_stl","taux_brut_de_reussite_serie_st2s","taux_brut_de_reussite_serie_musiq_danse","taux_brut_de_reussite_serie_hotellerie","taux_brut_de_reussite_total_series","taux_reussite_attendu_acad_serie_l","taux_reussite_attendu_acad_serie_es","taux_reussite_attendu_acad_serie_s","taux_reussite_attendu_acad_serie_stg","taux_reussite_attendu_acad_serie_sti","taux_reussite_attendu_acad_serie_stl","taux_reussite_attendu_acad_serie_st2s","taux_reussite_attendu_acad_serie_musiq_danse","taux_reussite_attendu_acad_serie_hotellerie","taux_reussite_attendu_acad_total_series","taux_reussite_attendu_france_serie_l","taux_reussite_attendu_france_serie_es","taux_reussite_attendu_france_serie_s","taux_reussite_attendu_france_serie_stg","taux_reussite_attendu_france_serie_sti","taux_reussite_attendu_france_serie_stl","taux_reussite_attendu_france_serie_st2s","taux_reussite_attendu_france_serie_musiq_danse","taux_reussite_attendu_france_serie_hotellerie","taux_reussite_attendu_france_total_series","sructure_pedagogique_en_5_groupes","bachel_sort_2de_1re_term_etab","bachel_sort_terminales_etab","bachel_sort_2de_1re_term_acad","bachel_sort_terminales_acad","bachel_sort_2de_1re_term_france","bachel_sort_terminales_france","effectif_de_seconde","effectif_de_premiere","taux_acces_brut_seconde_bac","taux_acces_attendu_acad_seconde_bac","taux_acces_attendu_france_seconde_bac","taux_acces_brut_premiere_bac","taux_acces_attendu_acad_premiere_bac","taux_acces_attendu_france_premiere_bac"
"1036","0920135X","CHATENAY-MALABRY","L0426","ESPAGNOL","LYC","EMMANUEL MOUNIER",199,"CHATENAY MALABRY","LYCEE EMMANUEL MOUNIER",17,31,60,52,NA,NA,NA,NA,NA,160,"88","97","90","85",".",".",".",".",".",89,"88","86","92","84",".",".",".",".",".","88","92","88","94","86",".",".",".",".",".","90",2,NA,NA,NA,NA,NA,NA,229,215,58,68,69,79,"85","85"
"1037","0920135X","CHATENAY-MALABRY","L1100","SC.ECO.SOC","LYC","EMMANUEL MOUNIER",217,"CHATENAY MALABRY","LYCEE EMMANUEL MOUNIER",17,31,60,52,NA,NA,NA,NA,NA,160,"88","97","90","85",".",".",".",".",".",89,"88","86","92","84",".",".",".",".",".","88","92","88","94","86",".",".",".",".",".","90",2,NA,NA,NA,NA,NA,NA,229,215,58,68,69,79,"85","85"
"1038","0920136Y","CLICHY","L0422","ANGLAIS","LYC","NEWTON-ENREA",182,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1039","0920136Y","CLICHY","L1300","MATHS","LYC","NEWTON-ENREA",111,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1040","0920136Y","CLICHY","L0201","LETT CLASS","LYC","NEWTON-ENREA",266.2,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1041","0920136Y","CLICHY","L1900","E. P. S","LYC","NEWTON-ENREA",118,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1042","0920136Y","CLICHY","L1500","PHY.CHIMIE","LYC","NEWTON-ENREA",352,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1043","0920136Y","CLICHY","L1100","SC.ECO.SOC","LYC","NEWTON-ENREA",258,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1044","0920136Y","CLICHY","L1600","S. V. T.","LYC","NEWTON-ENREA",178,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1045","0920136Y","CLICHY","L1412","SII.EE","LYC","NEWTON-ENREA",28,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1046","0920136Y","CLICHY","L0426","ESPAGNOL","LYC","NEWTON-ENREA",210,"CLICHY","LYCEE NEWTON-ENREA (GENERAL ET TECHNO.)",20,53,83,NA,47,NA,NA,NA,NA,203,"90","87","77",".","68",".",".",".",".",79,"85","87","84",".","81",".",".",".",".","84","85","87","87",".","80",".",".",".",".","85",3,NA,NA,NA,NA,NA,NA,300,186,51,63,59,78,"82","82"
"1047","0920137Z","COLOMBES","L1300","MATHS","LYC","GUY DE MAUPASSANT",211,"COLOMBES","LYCEE GUY DE MAUPASSANT",30,58,54,78,NA,NA,80,NA,NA,300,"80","79","76","69",".",".","68",".",".",73,"84","79","78","71",".",".","71",".",".","75","83","78","77","78",".",".","67",".",".","75",2,NA,NA,NA,NA,NA,NA,409,348,61,55,56,74,"74","73"
"1048","0920137Z","COLOMBES","L0422","ANGLAIS","LYC","GUY DE MAUPASSANT",138,"COLOMBES","LYCEE GUY DE MAUPASSANT",30,58,54,78,NA,NA,80,NA,NA,300,"80","79","76","69",".",".","68",".",".",73,"84","79","78","71",".",".","71",".",".","75","83","78","77","78",".",".","67",".",".","75",2,NA,NA,NA,NA,NA,NA,409,348,61,55,56,74,"74","73"
"1049","0920137Z","COLOMBES","L1000","HIST. GEO.","LYC","GUY DE MAUPASSANT",218.2,"COLOMBES","LYCEE GUY DE MAUPASSANT",30,58,54,78,NA,NA,80,NA,NA,300,"80","79","76","69",".",".","68",".",".",73,"84","79","78","71",".",".","71",".",".","75","83","78","77","78",".",".","67",".",".","75",2,NA,NA,NA,NA,NA,NA,409,348,61,55,56,74,"74","73"
"1050","0920137Z","COLOMBES","L0426","ESPAGNOL","LYC","GUY DE MAUPASSANT",223,"COLOMBES","LYCEE GUY DE MAUPASSANT",30,58,54,78,NA,NA,80,NA,NA,300,"80","79","76","69",".",".","68",".",".",73,"84","79","78","71",".",".","71",".",".","75","83","78","77","78",".",".","67",".",".","75",2,NA,NA,NA,NA,NA,NA,409,348,61,55,56,74,"74","73"
"1051","0920138A","COURBEVOIE","L1300","MATHS","LYC","PAUL LAPIE",111,"COURBEVOIE","LYCEE PAUL LAPIE",49,102,117,68,NA,NA,NA,NA,NA,336,"84","82","91","66",".",".",".",".",".",82,"86","93","95","87",".",".",".",".",".","91","87","94","95","87",".",".",".",".",".","92",2,NA,NA,NA,NA,NA,NA,441,356,69,72,72,84,"88","87"
"1052","0920138A","COURBEVOIE","E0030","EDUCATION","LYC","PAUL LAPIE",244,"COURBEVOIE","LYCEE PAUL LAPIE",49,102,117,68,NA,NA,NA,NA,NA,336,"84","82","91","66",".",".",".",".",".",82,"86","93","95","87",".",".",".",".",".","91","87","94","95","87",".",".",".",".",".","92",2,NA,NA,NA,NA,NA,NA,441,356,69,72,72,84,"88","87"
"1053","0920138A","COURBEVOIE","L1100","SC.ECO.SOC","LYC","PAUL LAPIE",1600,"COURBEVOIE","LYCEE PAUL LAPIE",49,102,117,68,NA,NA,NA,NA,NA,336,"84","82","91","66",".",".",".",".",".",82,"86","93","95","87",".",".",".",".",".","91","87","94","95","87",".",".",".",".",".","92",2,NA,NA,NA,NA,NA,NA,441,356,69,72,72,84,"88","87"
"1054","0920138A","COURBEVOIE","L1000","HIST. GEO.","LYC","PAUL LAPIE",334,"COURBEVOIE","LYCEE PAUL LAPIE",49,102,117,68,NA,NA,NA,NA,NA,336,"84","82","91","66",".",".",".",".",".",82,"86","93","95","87",".",".",".",".",".","91","87","94","95","87",".",".",".",".",".","92",2,NA,NA,NA,NA,NA,NA,441,356,69,72,72,84,"88","87"
"1055","0920141D","NANTERRE","L8013","ECO.GE.MK","LYC","JOLIOT-CURIE",100,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1056","0920141D","NANTERRE","L0429","ITALIEN","LYC","JOLIOT-CURIE",370.2,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1057","0920141D","NANTERRE","L1000","HIST. GEO.","LYC","JOLIOT-CURIE",228,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1058","0920141D","NANTERRE","L0080","DOC LYCEES","LYC","JOLIOT-CURIE",71,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1059","0920141D","NANTERRE","L0202","LET MODERN","LYC","JOLIOT-CURIE",389.2,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1060","0920141D","NANTERRE","L0422","ANGLAIS","LYC","JOLIOT-CURIE",118,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1061","0920141D","NANTERRE","L1900","E. P. S","LYC","JOLIOT-CURIE",101,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1062","0920141D","NANTERRE","L8011","ECO.GE.COM","LYC","JOLIOT-CURIE",126,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1063","0920141D","NANTERRE","L1300","MATHS","LYC","JOLIOT-CURIE",118,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1064","0920141D","NANTERRE","L0426","ESPAGNOL","LYC","JOLIOT-CURIE",225,"NANTERRE","LYCEE JOLIOT-CURIE",33,71,55,78,NA,NA,74,NA,NA,311,"58","51","75","62",".",".","81",".",".",66,"79","58","63","69",".",".","70",".",".","67","82","64","61","75",".",".","71",".",".","70",2,NA,NA,NA,NA,NA,NA,336,287,51,57,53,65,"76","70"
"1065","0920142E","NEUILLY-SUR-SEINE","L1100","SC.ECO.SOC","LYC","LOUIS PASTEUR",460,"NEUILLY SUR SEINE","LYCEE LOUIS PASTEUR",18,68,139,NA,NA,NA,NA,NA,NA,225,"100","97","99",".",".",".",".",".",".",98,"93","98","98",".",".",".",".",".",".","98","94","98","98",".",".",".",".",".",".","98",1,NA,NA,NA,NA,NA,NA,280,243,87,81,78,97,"94","93"
"1066","0920142E","NEUILLY-SUR-SEINE","L0201","LETT CLASS","LYC","LOUIS PASTEUR",443,"NEUILLY SUR SEINE","LYCEE LOUIS PASTEUR",18,68,139,NA,NA,NA,NA,NA,NA,225,"100","97","99",".",".",".",".",".",".",98,"93","98","98",".",".",".",".",".",".","98","94","98","98",".",".",".",".",".",".","98",1,NA,NA,NA,NA,NA,NA,280,243,87,81,78,97,"94","93"
"1067","0920143F","NEUILLY-SUR-SEINE","L1300","MATHS","LYC","LA FOLIE SAINT JAMES",291.2,"NEUILLY SUR SEINE","LYCEE LA FOLIE SAINT JAMES",13,64,87,NA,NA,NA,NA,NA,NA,164,"77","78","92",".",".",".",".",".",".",85,"90","91","91",".",".",".",".",".",".","91","85","89","91",".",".",".",".",".",".","90",1,NA,NA,NA,NA,NA,NA,215,164,59,70,61,81,"89","85"
"1068","0920143F","NEUILLY-SUR-SEINE","L0100","PHILO","LYC","LA FOLIE SAINT JAMES",1180,"NEUILLY SUR SEINE","LYCEE LA FOLIE SAINT JAMES",13,64,87,NA,NA,NA,NA,NA,NA,164,"77","78","92",".",".",".",".",".",".",85,"90","91","91",".",".",".",".",".",".","91","85","89","91",".",".",".",".",".",".","90",1,NA,NA,NA,NA,NA,NA,215,164,59,70,61,81,"89","85"
"1069","0920144G","PUTEAUX","L1300","MATHS","LYC","L AGORA",138,"PUTEAUX","LYCEE L AGORA",NA,34,57,NA,54,NA,NA,NA,NA,145,".","65","58",".","67",".",".",".",".",63,".","83","73",".","77",".",".",".",".","77",".","85","73",".","77",".",".",".",".","78",3,NA,NA,NA,NA,NA,NA,191,141,39,59,52,64,"79","75"
"1070","0920144G","PUTEAUX","L1412","SII.EE","LYC","L AGORA",449,"PUTEAUX","LYCEE L AGORA",NA,34,57,NA,54,NA,NA,NA,NA,145,".","65","58",".","67",".",".",".",".",63,".","83","73",".","77",".",".",".",".","77",".","85","73",".","77",".",".",".",".","78",3,NA,NA,NA,NA,NA,NA,191,141,39,59,52,64,"79","75"
"1071","0920145H","SCEAUX","E0030","EDUCATION","LYC","LAKANAL",186,"SCEAUX","LYCEE LAKANAL",20,94,197,35,NA,NA,NA,NA,NA,346,"100","98","98","97",".",".",".",".",".",98,"98","98","98","96",".",".",".",".",".","98","97","98","98","94",".",".",".",".",".","97",2,NA,NA,NA,NA,NA,NA,346,340,86,80,79,94,"94","93"
"1072","0920145H","SCEAUX","L1500","PHY.CHIMIE","LYC","LAKANAL",1693,"SCEAUX","LYCEE LAKANAL",20,94,197,35,NA,NA,NA,NA,NA,346,"100","98","98","97",".",".",".",".",".",98,"98","98","98","96",".",".",".",".",".","98","97","98","98","94",".",".",".",".",".","97",2,NA,NA,NA,NA,NA,NA,346,340,86,80,79,94,"94","93"
"1073","0920146J","SCEAUX","L0202","LET MODERN","LYC","MARIE CURIE",456,"SCEAUX","LYCEE MARIE CURIE",53,93,161,NA,NA,NA,NA,NA,NA,307,"100","96","99",".",".",".",".",".",".",98,"97","97","98",".",".",".",".",".",".","98","97","97","98",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,381,334,82,81,78,95,"94","92"
"1074","0920146J","SCEAUX","L0421","ALLEMAND","LYC","MARIE CURIE",366.2,"SCEAUX","LYCEE MARIE CURIE",53,93,161,NA,NA,NA,NA,NA,NA,307,"100","96","99",".",".",".",".",".",".",98,"97","97","98",".",".",".",".",".",".","98","97","97","98",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,381,334,82,81,78,95,"94","92"
"1075","0920146J","SCEAUX","L0080","DOC LYCEES","LYC","MARIE CURIE",245.2,"SCEAUX","LYCEE MARIE CURIE",53,93,161,NA,NA,NA,NA,NA,NA,307,"100","96","99",".",".",".",".",".",".",98,"97","97","98",".",".",".",".",".",".","98","97","97","98",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,381,334,82,81,78,95,"94","92"
"1076","0920146J","SCEAUX","L1600","S. V. T.","LYC","MARIE CURIE",495.2,"SCEAUX","LYCEE MARIE CURIE",53,93,161,NA,NA,NA,NA,NA,NA,307,"100","96","99",".",".",".",".",".",".",98,"97","97","98",".",".",".",".",".",".","98","97","97","98",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,381,334,82,81,78,95,"94","92"
"1077","0920147K","SURESNES","L1300","MATHS","LYC","PAUL LANGEVIN",111,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1078","0920147K","SURESNES","L1000","HIST. GEO.","LYC","PAUL LANGEVIN",263,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1079","0920147K","SURESNES","L0421","ALLEMAND","LYC","PAUL LANGEVIN",230,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1080","0920147K","SURESNES","L8013","ECO.GE.MK","LYC","PAUL LANGEVIN",209,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1081","0920147K","SURESNES","L1500","PHY.CHIMIE","LYC","PAUL LANGEVIN",185,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1082","0920147K","SURESNES","L0080","DOC LYCEES","LYC","PAUL LANGEVIN",135,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1083","0920147K","SURESNES","L7100","BIOCH.BIOL","LYC","PAUL LANGEVIN",78,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1084","0920147K","SURESNES","L8012","ECO.GE.FIN","LYC","PAUL LANGEVIN",1806.2,"SURESNES","LYCEE PAUL LANGEVIN",47,59,106,81,NA,39,NA,NA,NA,332,"98","90","95","89",".","77",".",".",".",91,"92","97","96","91",".","80",".",".",".","93","92","97","96","91",".","94",".",".",".","94",2,NA,NA,NA,NA,NA,NA,341,364,76,74,73,88,"89","88"
"1085","0920149M","VANVES","L1900","E. P. S","LYC","MICHELET",312,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1086","0920149M","VANVES","L1414","SII.ING.ME","LYC","MICHELET",31,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1087","0920149M","VANVES","L1500","PHY.CHIMIE","LYC","MICHELET",240,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1088","0920149M","VANVES","L0421","ALLEMAND","LYC","MICHELET",358,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1089","0920149M","VANVES","L0422","ANGLAIS","LYC","MICHELET",299.2,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1090","0920149M","VANVES","L1600","S. V. T.","LYC","MICHELET",227,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1091","0920149M","VANVES","L1300","MATHS","LYC","MICHELET",464,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1092","0920149M","VANVES","L0202","LET MODERN","LYC","MICHELET",1127,"VANVES","LYCEE MICHELET",70,103,171,NA,NA,NA,NA,NA,NA,344,"94","98","95",".",".",".",".",".",".",96,"95","97","97",".",".",".",".",".",".","97","95","97","97",".",".",".",".",".",".","97",1,NA,NA,NA,NA,NA,NA,491,349,70,78,72,95,"94","93"
"1093","0920150N","ASNIERES-SUR-SEINE","P0222","LET ANGLAI","LP","DE PRONY",161.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","0920150N","ASNIERES-SUR-SEINE","P8013","ECO.GE.VEN","LP","DE PRONY",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","0920158X","LA GARENNE-COLOMBES","L1900","E. P. S","LP","LA TOURNELLE",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","0920158X","LA GARENNE-COLOMBES","E0030","EDUCATION","LP","LA TOURNELLE",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","0920158X","LA GARENNE-COLOMBES","P8012","ECO.GE.CPT","LP","LA TOURNELLE",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","0920158X","LA GARENNE-COLOMBES","L0080","DOC LYCEES","LP","LA TOURNELLE",1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099","0920158X","LA GARENNE-COLOMBES","P7200","BIOTECHNOL","LP","LA TOURNELLE",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
